Citta,NO2,NOX,PM10,O3,CO,SO2,PM2.5,Benzene,Ammoniaca,Temperatura,Precipitazioni,Direzione_vento,Velocita_vento,Umidita,Radiazione
Milano,10279,10278,10273,10282,5834,10280,10283,17126,20020,2001,2006,14390,14391,2002,2008
Bergamo,5587,6220,6931,17297,5794,5670,10399,5989,-1,5864,5857,19105,19104,6158,6431
Crema,5958,6419,10339,5960,6418,5959,-1,-1,-1,5969,9329,19154,19153,6421,6440
Lecco,5577,6248,6927,10288,5805,6587,12029,10301,-1,10377,10376,19117,19116,10381,10382
Pavia,6685,6690,6947,6691,6705,6686,20157,6869,20156,6698,6694,17504,17502,6699,6696
Mantova,6871,9917,6955,20041,6879,6872,10347,6870,-1,9812,9816,9815,9821,9820,9818
Sondrio,5572,6382,6958,10437,5845,5704,10438,10259,-1,2096,2103,11829,11643,2097,2098
Brescia,6761,6766,6951,30165,6764,6966,9984,30166,-1,6795,6792,19077,19076,2415,4045
Varese,5555,6402,6918,5750,5853,5658,10449,-1,-1,8229,8228,14030,9073,6194,6476
Como,5564,6232,6919,6582,5798,5676,12570,29041,-1,9310,9308,19066,19065,9311,4012
Monza,9877,9875,9890,9882,9880,11041,10396,-1,17284,8212,8211,14110,4064,4059,4060
Lodi,5603,6268,6939,10454,5809,5693,9985,9772,-1,2122,2129,10461,10472,2328,2124
